property_id,ward_id,ward_name,zone,lat,lng,address,pincode,property_type,area_sqm,snapshot_year,s3_geojson_key
GVMC-001-0005,1,Bheemunipatnam,Bheemunipatnam,17.820495,83.430909,"D.No 40, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,602,2024,mock/ward-1/GVMC-001-0005-2024.json
GVMC-001-0006,1,Bheemunipatnam,Bheemunipatnam,17.875798,83.398736,"D.No 38, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,57,2024,mock/ward-1/GVMC-001-0006-2024.json
GVMC-001-0007,1,Bheemunipatnam,Bheemunipatnam,17.833951,83.414792,"D.No 6-1, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,444,2024,mock/ward-1/GVMC-001-0007-2024.json
GVMC-001-0008,1,Bheemunipatnam,Bheemunipatnam,17.799673,83.422363,"D.No 18-9, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,536,2024,mock/ward-1/GVMC-001-0008-2024.json
GVMC-001-0010,1,Bheemunipatnam,Bheemunipatnam,17.861593,83.448584,"D.No 43, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,394,2024,mock/ward-1/GVMC-001-0010-2024.json
GVMC-001-0011,1,Bheemunipatnam,Bheemunipatnam,17.855362,83.409658,"D.No 28-9, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,343,2024,mock/ward-1/GVMC-001-0011-2024.json
GVMC-001-0012,1,Bheemunipatnam,Bheemunipatnam,17.784164,83.420952,"D.No 9, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,425,2024,mock/ward-1/GVMC-001-0012-2024.json
GVMC-001-0014,1,Bheemunipatnam,Bheemunipatnam,17.865626,83.458433,"D.No 16, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,841,2024,mock/ward-1/GVMC-001-0014-2024.json
GVMC-001-0017,1,Bheemunipatnam,Bheemunipatnam,17.798774,83.436884,"D.No 6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,377,2024,mock/ward-1/GVMC-001-0017-2024.json
GVMC-001-0018,1,Bheemunipatnam,Bheemunipatnam,17.816789,83.408118,"D.No 24-3, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,521,2024,mock/ward-1/GVMC-001-0018-2024.json
GVMC-001-0020,1,Bheemunipatnam,Bheemunipatnam,17.859004,83.425776,"D.No 14, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,449,2024,mock/ward-1/GVMC-001-0020-2024.json
GVMC-001-0022,1,Bheemunipatnam,Bheemunipatnam,17.821503,83.382229,"D.No 21-8, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,541,2024,mock/ward-1/GVMC-001-0022-2024.json
GVMC-001-0023,1,Bheemunipatnam,Bheemunipatnam,17.818331,83.456573,"D.No 26, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,178,2024,mock/ward-1/GVMC-001-0023-2024.json
GVMC-001-0024,1,Bheemunipatnam,Bheemunipatnam,17.882239,83.380207,"D.No 12, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,427,2024,mock/ward-1/GVMC-001-0024-2024.json
GVMC-001-0025,1,Bheemunipatnam,Bheemunipatnam,17.880662,83.45414,"D.No 26-1, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,464,2024,mock/ward-1/GVMC-001-0025-2024.json
GVMC-001-0026,1,Bheemunipatnam,Bheemunipatnam,17.781711,83.419545,"D.No 12-8, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,291,2024,mock/ward-1/GVMC-001-0026-2024.json
GVMC-001-0028,1,Bheemunipatnam,Bheemunipatnam,17.792242,83.435077,"D.No 7-2, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,235,2024,mock/ward-1/GVMC-001-0028-2024.json
GVMC-001-0030,1,Bheemunipatnam,Bheemunipatnam,17.851772,83.451528,"D.No 28, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,283,2024,mock/ward-1/GVMC-001-0030-2024.json
GVMC-001-0031,1,Bheemunipatnam,Bheemunipatnam,17.780593,83.416879,"D.No 16-4, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,703,2024,mock/ward-1/GVMC-001-0031-2024.json
GVMC-001-0034,1,Bheemunipatnam,Bheemunipatnam,17.866569,83.379482,"D.No 35, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,116,2024,mock/ward-1/GVMC-001-0034-2024.json
GVMC-001-0035,1,Bheemunipatnam,Bheemunipatnam,17.79358,83.454005,"D.No 40, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,462,2024,mock/ward-1/GVMC-001-0035-2024.json
GVMC-001-0037,1,Bheemunipatnam,Bheemunipatnam,17.782493,83.425847,"D.No 14-6, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,438,2024,mock/ward-1/GVMC-001-0037-2024.json
GVMC-001-0038,1,Bheemunipatnam,Bheemunipatnam,17.852251,83.400911,"D.No 44-5, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,272,2024,mock/ward-1/GVMC-001-0038-2024.json
GVMC-001-0039,1,Bheemunipatnam,Bheemunipatnam,17.874673,83.381009,"D.No 1-3, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,229,2024,mock/ward-1/GVMC-001-0039-2024.json
GVMC-001-0041,1,Bheemunipatnam,Bheemunipatnam,17.832695,83.381207,"D.No 20, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,571,2024,mock/ward-1/GVMC-001-0041-2024.json
GVMC-001-0042,1,Bheemunipatnam,Bheemunipatnam,17.825414,83.429386,"D.No 37, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,503,2024,mock/ward-1/GVMC-001-0042-2024.json
GVMC-001-0043,1,Bheemunipatnam,Bheemunipatnam,17.880222,83.409773,"D.No 3-5, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,141,2024,mock/ward-1/GVMC-001-0043-2024.json
GVMC-001-0044,1,Bheemunipatnam,Bheemunipatnam,17.800614,83.37609,"D.No 20, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,284,2024,mock/ward-1/GVMC-001-0044-2024.json
GVMC-001-0049,1,Bheemunipatnam,Bheemunipatnam,17.883525,83.452563,"D.No 29-7, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,435,2024,mock/ward-1/GVMC-001-0049-2024.json
GVMC-001-0050,1,Bheemunipatnam,Bheemunipatnam,17.811298,83.411594,"D.No 29, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,274,2024,mock/ward-1/GVMC-001-0050-2024.json
GVMC-001-0052,1,Bheemunipatnam,Bheemunipatnam,17.784947,83.389036,"D.No 8-1, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,277,2024,mock/ward-1/GVMC-001-0052-2024.json
GVMC-001-0053,1,Bheemunipatnam,Bheemunipatnam,17.804725,83.403698,"D.No 33, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,722,2024,mock/ward-1/GVMC-001-0053-2024.json
GVMC-001-0054,1,Bheemunipatnam,Bheemunipatnam,17.881172,83.383486,"D.No 42, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,243,2024,mock/ward-1/GVMC-001-0054-2024.json
GVMC-001-0056,1,Bheemunipatnam,Bheemunipatnam,17.788867,83.402563,"D.No 10-6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Vacant Land,618,2024,mock/ward-1/GVMC-001-0056-2024.json
GVMC-001-0057,1,Bheemunipatnam,Bheemunipatnam,17.846665,83.412299,"D.No 40-3, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,261,2024,mock/ward-1/GVMC-001-0057-2024.json
GVMC-001-0058,1,Bheemunipatnam,Bheemunipatnam,17.8932,83.44202,"D.No 24, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,323,2024,mock/ward-1/GVMC-001-0058-2024.json
GVMC-001-0060,1,Bheemunipatnam,Bheemunipatnam,17.847884,83.451791,"D.No 8, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,588,2024,mock/ward-1/GVMC-001-0060-2024.json
GVMC-002-0001,2,Madhurawada,Madhurawada,17.766025,83.311855,"D.No 39-4, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,94,2024,mock/ward-2/GVMC-002-0001-2024.json
GVMC-002-0004,2,Madhurawada,Madhurawada,17.79067,83.304146,"D.No 29, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,260,2024,mock/ward-2/GVMC-002-0004-2024.json
GVMC-002-0005,2,Madhurawada,Madhurawada,17.794863,83.368106,"D.No 22, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,303,2024,mock/ward-2/GVMC-002-0005-2024.json
GVMC-002-0006,2,Madhurawada,Madhurawada,17.786711,83.332497,"D.No 38-1, Lane, Madhurawada, Visakhapatnam - 530009",530009,Residential,483,2024,mock/ward-2/GVMC-002-0006-2024.json
GVMC-002-0007,2,Madhurawada,Madhurawada,17.797067,83.312606,"D.No 34, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,390,2024,mock/ward-2/GVMC-002-0007-2024.json
GVMC-002-0009,2,Madhurawada,Madhurawada,17.764639,83.35272,"D.No 39, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,66,2024,mock/ward-2/GVMC-002-0009-2024.json
GVMC-002-0011,2,Madhurawada,Madhurawada,17.774784,83.350701,"D.No 40, Colony Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,397,2024,mock/ward-2/GVMC-002-0011-2024.json
GVMC-002-0012,2,Madhurawada,Madhurawada,17.76803,83.350016,"D.No 9, Lane, Madhurawada, Visakhapatnam - 530009",530009,Commercial,900,2024,mock/ward-2/GVMC-002-0012-2024.json
GVMC-002-0013,2,Madhurawada,Madhurawada,17.776283,83.368857,"D.No 24-9, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,390,2024,mock/ward-2/GVMC-002-0013-2024.json
GVMC-002-0014,2,Madhurawada,Madhurawada,17.770827,83.30113,"D.No 45, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Commercial,283,2024,mock/ward-2/GVMC-002-0014-2024.json
GVMC-002-0016,2,Madhurawada,Madhurawada,17.813373,83.32267,"D.No 30, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,282,2024,mock/ward-2/GVMC-002-0016-2024.json
GVMC-002-0018,2,Madhurawada,Madhurawada,17.815352,83.363902,"D.No 16, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,69,2024,mock/ward-2/GVMC-002-0018-2024.json
GVMC-002-0019,2,Madhurawada,Madhurawada,17.764851,83.306671,"D.No 15, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,170,2024,mock/ward-2/GVMC-002-0019-2024.json
